IKIDEN	Country	prod1	prod2	prod3	prod4	prod5	prod6	prod7	prod8	prod9	prod10	prod11	prod12	prod13	prod14	prod15	prod16	prod17	prod18	prod19	prod20	prod21	prod22	prod23	prod24	prod25	prod26	prod27	prod28	prod29	prod30	Who	Frequence	When	Taste	Healthy	Pleasure	No preparation	Ways	Guest	Authentic	Not expensive	Supermarket	Deli	Caterer	Fish shop	Market	Mobile van	Everyday	Special	Day snack	Evening snack	Aperitif	Starter	Salad	Cooked meal	Sandwich	Main	Vegetable	Lemon	Bread, butter	Lemon, bread, butter	C. fraîche	C. fraîche with herbs	Fresh cheese	Fresh cheese with herbs	Shallots	Mustard	Butter	Black pepper	Horseradish	Scottish	Norwegian	Atlantic	Irish	Wild	Do not know	Colour	Price	Origin	Brand	Advertising	Glossiness	Packaging	Labelling information	Number slices	Weight	Use by date	Usual brand	Appetising	Firm	Regular	Nice colour	Nice odour	Smooth texture	Firm texture	Greasy mouth	Characteristic taste	Not too salty
5101	Lyon	0,5433	0,5433	-0,0187	0,5433	0,5433	-0,0187	1,1054	-0,5808	0,5433	-0,5808	-0,0187	-2,829	0,5433	-1,7049	-1,7049	-1,1428	1,6674	-0,0187	0,5433	-0,5808	1,1054	1,6674	-0,5808	0,5433	0,5433	-0,0187	-1,1428	-0,5808	1,1054	-0,0187	Adults	5 to 6 times a year	Special celebration	Comp. Agree	Most. Agree	Comp. Agree	Neither	Neither	Comp. Agree	Most. Agree	Most. Disa.	Yes	No	No	No	No	No	No	Yes	No	No	Yes	Yes	No	No	No	No	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes	No	No	Yes	No	No	Yes	Yes	Yes	No	No	No	No	Yes	Yes	No	Yes	No	No	No	No	Yes	Yes	No	Yes	No	No	No
5102	Lyon	0,4685	-0,3123	0,4685	0,4685	1,2494	-1,0932	-0,3123	1,2494	0,4685	-0,3123	1,2494	0,4685	-0,3123	1,2494	-2,655	1,2494	-1,8741	-1,0932	0,4685	-1,0932	0,4685	1,2494	-1,0932	-1,0932	0,4685	-0,3123	-0,3123	-0,3123	1,2494	-0,3123	Both	Once every 2 weeks	Only the winter	Most. Agree	Comp. Agree	Comp. Agree	Most. Agree	Comp. Agree	Comp. Agree	Most. Agree	Most. Disa.	Yes	No	No	No	No	No	Yes	No	No	Yes	Yes	No	Yes	No	Yes	No	No	No	Yes	Yes	No	No	No	No	No	No	Yes	No	No	No	Yes	No	No	No	No	Yes	Yes	No	No	Yes	No	No	No	No	No	Yes	No	Yes	No	No	Yes	No	No	No	No	No	Yes
5103	Lyon	0,4354	1,3683	-0,9641	0,4354	1,3683	-0,4976	0,4354	-0,4976	0,4354	-0,9641	-0,9641	-0,0311	-0,0311	-0,9641	0,9019	-2,3635	0,4354	-1,897	0,4354	0,9019	0,4354	-1,4305	0,4354	0,9019	1,3683	-0,4976	-0,0311	1,3683	0,9019	-1,4305	Both	5 to 6 times a year	Special celebration	Comp. Agree	Most. Agree	Comp. Agree	Comp. Agree	Comp. Agree	Comp. Agree	Comp. Agree	Most. Agree	Yes	No	Yes	No	No	No	No	Yes	No	Yes	Yes	Yes	Yes	No	No	No	No	No	No	Yes	No	Yes	No	Yes	No	No	No	No	No	Yes	Yes	No	Yes	No	No	Yes	No	Yes	Yes	No	Yes	No	No	No	No	Yes	No	Yes	No	Yes	No	No	No	No	No	No	Yes
5106	Lyon	1,692	1,692	0,6004	1,1462	0,6004	-0,4912	-1,0371	-1,5829	0,6004	0,0546	-0,4912	0,0546	-1,5829	-1,0371	0,6004	0,0546	-1,0371	-1,5829	-1,0371	-0,4912	1,692	0,0546	1,1462	0,6004	-0,4912	0,0546	-1,0371	-0,4912	0,0546	1,692	Both	Once a month	All year round	Comp. Agree	Comp. Agree	Comp. Agree	Comp. Agree	Comp. Agree	Comp. Agree	Comp. Agree	Neither	Yes	No	No	No	No	No	Yes	No	No	No	No	Yes	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Yes	No	Yes	No	No	No	No	No	No	No	No	No	No	Yes	No	No	No	Yes	No	No	No	No	Yes
5107	Lyon	0,6167	-0,2056	0,2056	-0,6167	-1,4389	0,6167	0,6167	0,2056	1,0278	0,6167	-0,6167	0,6167	1,0278	0,2056	-1,85	-0,6167	0,6167	0,6167	1,0278	1,4389	-1,4389	1,0278	1,4389	-1,85	-1,0278	-0,6167	-1,0278	-1,85	0,6167	0,6167	Adults	Once every 2 weeks	All year round	Comp. Agree	Most. Agree	Comp. Agree	Neither	Neither	Comp. Agree	Most. Agree	Neither	Yes	No	No	No	No	No	Yes	Yes	No	No	No	Yes	No	No	No	No	No	Yes	Yes	No	Yes	No	No	No	No	No	No	No	No	No	No	No	No	No	Yes	Yes	Yes	No	No	No	No	No	Yes	No	No	No	No	No	No	No	Yes	No	No	No	Yes	Yes	No
5108	Lyon	-0,0165	0,9714	-1,9922	0,9714	-1,0043	0,9714	-0,5104	1,4653	0,4775	-0,5104	1,4653	0,4775	0,4775	0,9714	0,4775	-0,0165	0,4775	-1,9922	-1,4983	-0,5104	-0,5104	-0,5104	1,4653	-1,0043	-0,0165	-1,0043	-0,0165	-1,4983	0,9714	0,9714	Both	Once every 2 weeks	All year round	Comp. Agree	Most. Agree	Comp. Agree	Most. Agree	Comp. Agree	Comp. Agree	Most. Agree	Most. Disa.	Yes	No	No	No	No	No	Yes	Yes	No	No	Yes	Yes	No	No	No	No	No	No	No	Yes	No	Yes	No	No	Yes	No	No	No	No	Yes	Yes	No	Yes	No	No	Yes	Yes	Yes	Yes	No	Yes	No	No	No	No	Yes	No	No	No	No	Yes	Yes	No	No	Yes	No	No
5110	Lyon	0,5557	0,5557	-0,0617	-0,0617	-0,6792	1,7905	-0,0617	-1,2966	-0,0617	-0,6792	1,1731	-1,2966	-1,2966	0,5557	1,1731	-1,914	-0,0617	-1,2966	-0,6792	1,1731	1,7905	0,5557	-0,0617	-0,6792	-1,2966	-0,6792	-0,0617	0,5557	0,5557	1,7905	Both	Once every 2 weeks	All year round	Comp. Agree	Neither	Comp. Agree	Most. Agree	Comp. Agree	Comp. Agree	Most. Agree	Neither	Yes	No	Yes	No	No	No	Yes	No	Yes	No	Yes	Yes	No	Yes	Yes	No	No	No	No	Yes	Yes	Yes	No	No	No	No	No	No	No	Yes	Yes	Yes	No	Yes	No	Yes	Yes	Yes	No	No	No	No	No	Yes	Yes	Yes	No	Yes	No	No	No	Yes	Yes	No	No	No	No
5201	Lyon	-0,8881	-1,4549	-0,3212	1,3793	1,9462	0,2456	-0,8881	0,8125	0,8125	0,2456	0,8125	1,3793	0,2456	-0,3212	-0,8881	-1,4549	-0,3212	-1,4549	0,8125	0,8125	-1,4549	0,2456	0,8125	0,8125	-0,8881	0,8125	0,8125	-1,4549	-1,4549	0,2456	Both	Once a month	All year round	Comp. Agree	Neither	Comp. Agree	Neither	Most. Agree	Most. Agree	Neither	Most. Disa.	Yes	No	No	Yes	No	No	Yes	Yes	No	No	Yes	Yes	No	Yes	No	No	No	Yes	Yes	No	No	No	Yes	No	No	No	No	No	No	Yes	Yes	No	Yes	No	No	Yes	Yes	Yes	No	No	No	No	No	No	No	No	No	Yes	No	No	Yes	No	No	No	No	No	Yes
5202	Lyon	-0,1374	-0,9615	1,511	-0,1374	0,6868	0,6868	-0,1374	-0,1374	0,6868	0,6868	-0,1374	-0,9615	-0,1374	-0,9615	-0,9615	-0,9615	0,6868	0,6868	-1,7857	-0,9615	-0,9615	-0,9615	-0,1374	1,511	1,511	2,3351	0,6868	-1,7857	-0,1374	0,6868	Both	Once every 2 weeks	All year round	Most. Agree	Most. Agree	Most. Agree	Most. Agree	Most. Agree	Most. Agree	Neither	Most. Disa.	Yes	No	No	No	No	No	No	No	No	Yes	Yes	No	No	Yes	No	No	No	Yes	No	No	No	Yes	No	Yes	No	No	No	No	No	No	No	No	No	No	Yes	No	Yes	No	No	Yes	No	No	Yes	No	No	Yes	No	No	No	No	No	Yes	No	Yes	No	No	Yes
5205	Lyon	0,8712	-1,4214	-1,8799	-0,5044	0,8712	1,3297	-0,0459	-0,5044	-0,0459	-0,0459	1,3297	0,8712	1,3297	-0,9629	0,8712	0,4127	-1,4214	0,4127	-0,9629	-0,9629	-0,5044	0,4127	1,3297	0,4127	-0,9629	0,4127	0,8712	1,3297	-1,8799	-0,9629	Adults	Once a month	Special celebration	Comp. Agree	Most. Agree	Most. Agree	Neither	Neither	Comp. Agree	Neither	Neither	Yes	No	Yes	No	No	No	No	Yes	No	No	Yes	Yes	Yes	No	No	No	No	No	Yes	Yes	No	Yes	No	No	No	No	No	No	No	Yes	Yes	No	No	No	No	Yes	Yes	No	No	No	Yes	No	No	Yes	Yes	Yes	No	No	No	No	Yes	No	No	Yes	No	No	Yes
